date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:13:35	41065/41065	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Feb%202015%2001:15:20%20GMT	http://www.yitherapy.com/design/tcm_schedule_400x267.jpg	/yitherapy/www.yitherapy.com/design/tcm_schedule_400x267.jpg	(from http://www.yitherapy.com/)
10:13:37	30940/30940	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Feb%202015%2005:05:54%20GMT	http://www.yitherapy.com/design/tcm_Gua_Sha_400x267.jpg	/yitherapy/www.yitherapy.com/design/tcm_Gua_Sha_400x267.jpg	(from http://www.yitherapy.com/)
10:13:37	136882/136882	---MCZ	200	added ('OK')	text/html	date:Mon,%2001%20Feb%202016%2015:08:01%20GMT	http://www.yitherapy.com/bookonline.html	/yitherapy/www.yitherapy.com/bookonline.html	(from http://www.yitherapy.com/)
10:13:39	35360/35360	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Feb%202015%2004:41:42%20GMT	http://www.yitherapy.com/design/tcm_tui_na_400x267.jpg	/yitherapy/www.yitherapy.com/design/tcm_tui_na_400x267.jpg	(from http://www.yitherapy.com/)
10:13:41	26374/26374	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Feb%202015%2004:41:41%20GMT	http://www.yitherapy.com/design/tcm_accupuncture_400x267.jpg	/yitherapy/www.yitherapy.com/design/tcm_accupuncture_400x267.jpg	(from http://www.yitherapy.com/)
10:13:41	3548/3548	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Feb%202015%2002:19:25%20GMT	http://www.yitherapy.com/design/fb_48x48.png	/yitherapy/www.yitherapy.com/design/fb_48x48.png	(from http://www.yitherapy.com/)
10:13:43	3713/3713	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Feb%202015%2002:19:26%20GMT	http://www.yitherapy.com/design/twitter_48x48.png	/yitherapy/www.yitherapy.com/design/twitter_48x48.png	(from http://www.yitherapy.com/)
10:13:43	30704/30704	---M--	200	added ('OK')	image/jpeg	date:Mon,%2002%20Feb%202015%2004:41:41%20GMT	http://www.yitherapy.com/design/tcm_fire_cupping_400x267.jpg	/yitherapy/www.yitherapy.com/design/tcm_fire_cupping_400x267.jpg	(from http://www.yitherapy.com/)
10:13:43	2130/2130	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Jun%202016%2014:45:41%20GMT	http://www.yitherapy.com/static/js/ext/datejs-1.0.alpha1/l10n/en-SG-min.js	/yitherapy/www.yitherapy.com/static/js/ext/datejs-1.0.alpha1/l10n/en-SG-min.js	(from http://www.yitherapy.com/)
10:13:45	21890/21890	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Jun%202016%2014:45:40%20GMT	http://www.yitherapy.com/static/js/ext/datejs-1.0.alpha1/compact-datejs-1.0.alpha1-min.js	/yitherapy/www.yitherapy.com/static/js/ext/datejs-1.0.alpha1/compact-datejs-1.0.alpha1-min.js	(from http://www.yitherapy.com/)
10:13:45	4387/4387	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2004%20Aug%202016%2008:57:08%20GMT	http://www.yitherapy.com/static/ver/4.35.0.44/js/int/jquery.iv.datepicker.js	/yitherapy/www.yitherapy.com/static/ver/4.35.0.44/js/int/jquery.iv.datepicker.js	(from http://www.yitherapy.com/)
10:13:46	3377/3377	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2009%20Jun%202016%2014:45:41%20GMT	http://www.yitherapy.com/static/js/ext/json2.2011-10-19.min.js	/yitherapy/www.yitherapy.com/static/js/ext/json2.2011-10-19.min.js	(from http://www.yitherapy.com/)
10:13:47	34926/34926	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2020%20Sep%202017%2010:05:22%20GMT	http://www.yitherapy.com/static/ver/4.35.0.44/js/int/jquery.iv.js	/yitherapy/www.yitherapy.com/static/ver/4.35.0.44/js/int/jquery.iv.js	(from http://www.yitherapy.com/)
